"your_campus","your_acade","your_grade","club_stud_org","class_commi","soci_acti","dali_live","local","Social Radius"
"GZIC","A1","junior",0,1,0,1,1,2.32567049808429
"GZIC","A2","freshman",0,0,0,0,1,2.44572158365262
"HEMC","a1","junior",0,0,0,0,0,1.97160821298752
"HEMC","a2","sophomore",1,0,1,1,0,2.36310050103154
"GZIC","A3","sophomore",0,0,0,0,1,1.96404361921603
"GZIC","A4","senior",0,0,0,0,0,1.96404361921603
"GZIC","A5","senior",0,0,0,0,1,2.29580508890854
"GZIC","A6","sophomore",1,1,1,1,0,1.96404361921603
"GZIC","A7","senior",0,0,0,0,1,2.60939188525395
"GZIC","A8","senior",0,0,0,0,1,2.57883878573534
"GZIC","A9","sophomore",1,1,0,1,0,1.96404361921603
"GZIC","A10","senior",1,1,0,1,0,2.05756950584537
"GZIC","A11","sophomore",1,0,0,0,1,2.68936044798114
"GZIC","A12","sophomore",1,0,0,1,0,1.96404361921603
"GZIC","A13","freshman",1,0,0,0,1,1.96404361921603
"GZIC","A14","junior",1,0,0,0,0,2.66696139109932
"GZIC","A15","graduate",0,0,0,0,0,2.59996070340898
"GZIC","A16","junior",0,1,0,0,0,2.74221436290402
"GZIC","A17","junior",1,1,0,1,1,1.96404361921603
"GZIC","A18","junior",0,1,0,0,1,1.96404361921603
"GZIC","A19","senior",1,0,0,0,0,1.96404361921603
"GZIC","A20","sophomore",1,1,1,1,0,1.96404361921603
"GZIC","A21","graduate",1,1,0,0,1,1.96404361921603
"GZIC","A22","freshman",0,0,0,1,1,2.60064839375184
"GZIC","A23","junior",1,1,1,1,1,1.96404361921603
"GZIC","A24","junior",1,0,0,1,1,2.52922683957167
"GZIC","A25","junior",1,0,1,1,1,2.21937321937322
"GZIC","A26","junior",1,1,0,0,1,1.96404361921603
"GZIC","A27","sophomore",1,0,1,1,1,2.63110325179291
"GZIC","A28","junior",0,0,0,0,1,1.96404361921603
"GZIC","A29","junior",1,1,0,1,1,2.57206012378426
"GZIC","A30","junior",1,0,1,1,0,1.96404361921603
"GZIC","A31","sophomore",1,0,0,0,0,2.23813734158562
"GZIC","A32","junior",1,1,1,1,0,2.59730818351508
"GZIC","A33","junior",0,0,0,0,1,2.73749877198153
"GZIC","A34","junior",1,0,0,1,0,2.63188918361332
"GZIC","A35","junior",1,0,0,0,1,2.46419098143236
"GZIC","A36","junior",0,0,0,0,1,2.76137145102662
"GZIC","A37","junior",0,0,0,1,1,1.96404361921603
"GZIC","A38","junior",0,1,0,0,1,1.96404361921603
"GZIC","A39","junior",1,0,1,1,0,2.76932901070832
"GZIC","A40","junior",1,0,1,1,1,2.48541114058355
"GZIC","A41","junior",0,0,0,1,1,1.96404361921603
"GZIC","A42","junior",1,1,0,1,1,2.03644758817173
"GZIC","A43","junior",0,0,0,0,0,2.57235484821692
"HEMC","a3","freshman",1,0,0,0,1,2.8707142155418
"HEMC","a4","freshman",1,0,1,1,0,2.63611356714805
"GZIC","A44","junior",0,0,0,0,0,2.6197072403969
"GZIC","A45","junior",1,1,0,1,0,2.4178210040279
"HEMC","a5","junior",1,1,0,0,1,2.53620198447785
"HEMC","a6","junior",0,0,0,0,1,1.97160821298752
"HEMC","a7","sophomore",1,1,0,0,0,1.97160821298752
"HEMC","a8","sophomore",1,1,0,1,1,2.44827586206897
"HEMC","a9","freshman",0,0,0,1,0,2.61391099322134
"HEMC","a10","sophomore",0,1,1,1,0,2.42960998133412
"HEMC","a11","freshman",1,0,0,1,0,1.97160821298752
"HEMC","a12","senior",0,1,0,1,0,1.97160821298752
"HEMC","a13","sophomore",1,1,1,0,0,1.97160821298752
"HEMC","a14","freshman",1,1,0,1,0,2.60084487670695
"HEMC","a15","sophomore",1,1,0,0,1,2.59367324884566
"GZIC","A46","junior",1,0,0,0,0,2.79693486590038
"GZIC","A47","junior",1,1,1,1,1,2.29698398663916
"GZIC","A48","junior",1,1,0,0,0,2.81854799096178
"GZIC","B1","sophomore",0,1,0,0,1,2.56479025444543
"GZIC","B2","sophomore",0,1,0,1,1,2.6362118086256
"GZIC","B3","sophomore",1,0,0,1,0,2.73956184301012
"GZIC","B4","sophomore",1,0,0,0,1,2.60447981137636
"GZIC","B5","sophomore",1,0,1,1,0,1.96178406523234
"GZIC","B6","junior",1,1,0,1,0,2.5931820414579
"GZIC","B7","junior",0,0,1,1,1,2.63680125749091
"GZIC","B8","junior",1,1,1,1,1,1.96178406523234
"GZIC","B9","junior",1,1,0,1,0,2.16033009136457
"GZIC","B10","sophomore",1,1,1,1,0,2.73956184301012
"GZIC","B11","sophomore",0,0,0,0,0,1.96178406523234
"GZIC","B12","sophomore",1,0,0,0,0,2.31348855486787
"GZIC","B13","senior",1,1,0,1,0,1.96178406523234
"GZIC","B14","sophomore",0,0,0,0,0,2.54582964927793
"GZIC","B15","freshman",1,0,0,1,1,2.16504568228706
"GZIC","B16","sophomore",1,0,0,1,1,2.50063856960409
"GZIC","B17","senior",1,0,0,0,0,2.65487768936045
"GZIC","B18","sophomore",1,0,0,0,0,2.5954415954416
"GZIC","B19","freshman",1,1,1,1,1,2.4663522939385
"GZIC","B20","senior",1,1,0,1,0,1.96178406523234
"GZIC","B21","junior",0,1,0,0,1,2.50751547303271
"HEMC","b1","junior",1,0,0,1,0,2.11739856567443
"GZIC","B22","junior",1,1,1,1,0,2.3342175066313
"GZIC","B23","junior",1,0,0,0,1,1.96178406523234
"GZIC","B24","sophomore",1,1,1,0,1,1.96178406523234
"GZIC","B25","senior",1,1,0,0,0,1.96178406523234
"GZIC","B26","sophomore",0,1,0,0,1,2.15443560271146
"GZIC","B27","junior",1,1,0,1,0,2.60703408979271
"GZIC","B28","junior",1,1,0,0,0,2.44031830238727
"GZIC","B29","junior",1,0,1,1,1,2.20817369093231
"GZIC","B30","graduate",1,0,0,1,1,1.96178406523234
"GZIC","B31","sophomore",1,1,0,1,0,1.96178406523234
"GZIC","B32","junior",1,0,0,0,1,2.28156007466352
"GZIC","B33","junior",1,0,0,1,0,2.26554671382258
"HEMC","b2","junior",1,1,0,0,0,1.96816976127321
"HEMC","b3","junior",0,0,0,1,0,2.82100402790058
"HEMC","b4","junior",1,1,0,0,0,2.57215836526181
"HEMC","b5","sophomore",1,0,0,0,0,2.32046369977404
"GZIC","C1","sophomore",1,1,1,1,0,1.97160821298752
"HEMC","c1","graduate",0,0,0,0,1,2.84153649670891
"GZIC","C2","sophomore",1,1,0,0,1,2.53728264073092
"GZIC","C3","freshman",1,1,0,1,0,1.97160821298752
"GZIC","C4","junior",1,1,1,1,1,1.97160821298752
"GZIC","C5","graduate",0,0,0,0,0,2.87700167010512
"GZIC","C6","junior",1,1,0,0,1,1.97160821298752
"GZIC","C7","graduate",1,1,1,1,0,2.00108065625307
"HEMC","c2","junior",1,0,0,0,0,2.63002259553984
"HEMC","c3","junior",0,0,0,0,0,1.96591020728952
